Package,Missed Instructions,Instructions Coverage,Missed Branches,Branch Coverage,Missed Cxty,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
org.jfree.chart.renderer.xy,,53%,,30%,"1,313","2,089","3,148","7,434",202,795,7,71
org.jfree.chart.plot,,77%,,55%,"1,791","3,854","3,151","13,879",441,"1,714",2,70
org.jfree.chart.axis,,70%,,44%,"1,247","2,251","2,246","7,771",230,920,3,76
org.jfree.chart.renderer.category,,65%,,37%,908,"1,491","1,716","5,204",104,555,1,48
org.jfree.chart,,68%,,37%,772,"1,361","1,766","4,972",261,715,8,64
org.jfree.data.time,,82%,,49%,508,"1,340","1,027","5,420",153,820,3,48
org.jfree.chart.util,,49%,,40%,403,638,816,"1,787",98,234,5,34
org.jfree.chart.editor,,0%,,0%,214,214,835,835,105,105,10,10
org.jfree.data.xy,,88%,,63%,473,"1,337",684,"4,976",181,852,3,74
org.jfree.chart.ui,,31%,,33%,214,298,491,714,72,129,11,22
org.jfree.chart.annotations,,74%,,52%,243,536,577,"2,107",89,311,3,30
org.jfree.chart.title,,65%,,40%,289,527,500,"1,625",77,250,2,19
org.jfree.chart.plot.dial,,73%,,59%,258,550,552,"2,108",142,357,0,26
org.jfree.chart.renderer,,78%,,50%,321,676,528,"2,254",92,341,3,27
org.jfree.chart.labels,,76%,,46%,252,556,396,"1,842",65,319,1,46
org.jfree.data.general,,83%,,64%,282,694,446,"2,435",80,304,2,25
org.jfree.data.statistics,,85%,,61%,281,687,383,"2,462",65,336,0,27
org.jfree.chart.block,,84%,,60%,209,536,369,"2,195",61,267,0,28
org.jfree.chart.needle,,48%,,37%,114,200,268,574,31,108,0,20
org.jfree.data,,89%,,72%,172,610,331,"2,513",36,313,2,32
org.jfree.chart.entity,,64%,,32%,149,238,268,679,72,147,1,20
org.jfree.chart.panel,,19%,,5%,95,108,233,289,17,29,0,3
org.jfree.data.gantt,,84%,,56%,119,276,174,"1,040",53,172,0,10
org.jfree.data.jdbc,,0%,,0%,78,78,242,242,31,31,3,3
org.jfree.data.xml,,0%,,0%,75,75,213,213,47,47,8,8
org.jfree.chart.text,,75%,,53%,139,243,154,643,27,95,0,8
org.jfree.data.json.impl,,0%,,0%,78,78,185,185,19,19,3,3
org.jfree.chart.date,,53%,,29%,95,128,134,230,35,54,0,2
org.jfree.data.category,,88%,,63%,101,276,139,999,12,141,0,8
org.jfree.chart.urls,,88%,,63%,66,170,69,621,15,90,2,16
org.jfree.chart.encoders,,0%,,0%,34,34,90,90,31,31,4,4
org.jfree.data.time.ohlc,,88%,,62%,39,113,55,457,19,82,0,8
org.jfree.data.json,,0%,,0%,15,15,70,70,5,5,1,1
org.jfree.data.io,,0%,,0%,16,16,57,57,6,6,1,1
org.jfree.data.resources,,16%,,n/a,15,18,15,18,15,18,5,6
org.jfree.chart.imagemap,,64%,,64%,15,45,39,127,9,28,1,10
org.jfree.data.function,,90%,,58%,12,58,17,177,3,46,0,8
org.jfree.chart.resources,,0%,,n/a,3,3,3,3,3,3,1,1
org.jfree.chart.event,,76%,,n/a,12,30,16,63,12,30,0,10
Total,"95,277 of 342,993",72%,"12,374 of 23,212",46%,"11,420","22,447","22,403","79,310","3,016","10,819",96,927
